vehicle_id,vehicle_type,mode,capacity_ton,current_node_id,status,available_from_ts,cost_fixed_vnd,cost_per_km_vnd,speed_kmh,has_reefer,owner_hub_id
VEH_TRK5_001,truck_5t,road,5.000000,HUB_VITHANH,maintenance,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,HUB_VITHANH
VEH_TRK5_002,truck_5t,road,5.000000,HUB_VITHANH,maintenance,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,HUB_VITHANH
VEH_TRK5_003,truck_5t,road,5.000000,HUB_VITHANH,en_route,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,HUB_VITHANH
VEH_TRK5_004,truck_5t,road,5.000000,HUB_VITHANH,available,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,HUB_VITHANH
VEH_TRK5_005,truck_5t,road,5.000000,HUB_VITHANH,available,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,HUB_VITHANH
VEH_TRK5_006,truck_5t,road,5.000000,HUB_LONGXUYEN,reserved,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,HUB_LONGXUYEN
VEH_TRK5_007,truck_5t,road,5.000000,HUB_LONGXUYEN,available,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,HUB_LONGXUYEN
VEH_TRK5_008,truck_5t,road,5.000000,HUB_LONGXUYEN,en_route,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,HUB_LONGXUYEN
VEH_TRK5_009,truck_5t,road,5.000000,HUB_LONGXUYEN,en_route,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,HUB_LONGXUYEN
VEH_TRK5_010,truck_5t,road,5.000000,HUB_LONGXUYEN,available,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,HUB_LONGXUYEN
VEH_TRK5_011,truck_5t,road,5.000000,HUB_SOCTRANG,available,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,HUB_SOCTRANG
VEH_TRK5_012,truck_5t,road,5.000000,HUB_SOCTRANG,en_route,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,HUB_SOCTRANG
VEH_TRK5_013,truck_5t,road,5.000000,HUB_SOCTRANG,available,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,HUB_SOCTRANG
VEH_TRK5_014,truck_5t,road,5.000000,HUB_SOCTRANG,available,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,HUB_SOCTRANG
VEH_TRK5_015,truck_5t,road,5.000000,HUB_SOCTRANG,en_route,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,HUB_SOCTRANG
VEH_TRK5_016,truck_5t,road,5.000000,HUB_VINHLONG,reserved,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,HUB_VINHLONG
VEH_TRK5_017,truck_5t,road,5.000000,HUB_VINHLONG,en_route,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,HUB_VINHLONG
VEH_TRK5_018,truck_5t,road,5.000000,HUB_VINHLONG,available,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,HUB_VINHLONG
VEH_TRK5_019,truck_5t,road,5.000000,HUB_VINHLONG,en_route,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,HUB_VINHLONG
VEH_TRK5_020,truck_5t,road,5.000000,HUB_VINHLONG,en_route,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,HUB_VINHLONG
VEH_TRK5_021,truck_5t,road,5.000000,CT_HUB,available,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,
VEH_TRK5_022,truck_5t,road,5.000000,CT_HUB,available,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,
VEH_TRK5_023,truck_5t,road,5.000000,CT_HUB,available,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,
VEH_TRK5_024,truck_5t,road,5.000000,CT_HUB,available,2024-01-01T00:00:00+07:00,250000.000000,12000.000000,45.000000,False,
VEH_TRK15_001,truck_15t,road,15.000000,HUB_VITHANH,available,2024-01-01T00:00:00+07:00,420000.000000,18500.000000,42.000000,False,HUB_VITHANH
VEH_TRK15_002,truck_15t,road,15.000000,HUB_VITHANH,available,2024-01-01T00:00:00+07:00,420000.000000,18500.000000,42.000000,False,HUB_VITHANH
VEH_TRK15_003,truck_15t,road,15.000000,HUB_VITHANH,maintenance,2024-01-01T00:00:00+07:00,420000.000000,18500.000000,42.000000,False,HUB_VITHANH
VEH_TRK15_004,truck_15t,road,15.000000,HUB_LONGXUYEN,available,2024-01-01T00:00:00+07:00,420000.000000,18500.000000,42.000000,False,HUB_LONGXUYEN
VEH_TRK15_005,truck_15t,road,15.000000,HUB_LONGXUYEN,available,2024-01-01T00:00:00+07:00,420000.000000,18500.000000,42.000000,False,HUB_LONGXUYEN
VEH_TRK15_006,truck_15t,road,15.000000,HUB_LONGXUYEN,available,2024-01-01T00:00:00+07:00,420000.000000,18500.000000,42.000000,False,HUB_LONGXUYEN
VEH_TRK15_007,truck_15t,road,15.000000,HUB_SOCTRANG,available,2024-01-01T00:00:00+07:00,420000.000000,18500.000000,42.000000,False,HUB_SOCTRANG
VEH_TRK15_008,truck_15t,road,15.000000,HUB_SOCTRANG,reserved,2024-01-01T00:00:00+07:00,420000.000000,18500.000000,42.000000,False,HUB_SOCTRANG
VEH_TRK15_009,truck_15t,road,15.000000,HUB_SOCTRANG,available,2024-01-01T00:00:00+07:00,420000.000000,18500.000000,42.000000,False,HUB_SOCTRANG
VEH_TRK15_010,truck_15t,road,15.000000,HUB_VINHLONG,available,2024-01-01T00:00:00+07:00,420000.000000,18500.000000,42.000000,False,HUB_VINHLONG
VEH_TRK15_011,truck_15t,road,15.000000,HUB_VINHLONG,en_route,2024-01-01T00:00:00+07:00,420000.000000,18500.000000,42.000000,False,HUB_VINHLONG
VEH_TRK15_012,truck_15t,road,15.000000,HUB_VINHLONG,en_route,2024-01-01T00:00:00+07:00,420000.000000,18500.000000,42.000000,False,HUB_VINHLONG
VEH_TRK15_013,truck_15t,road,15.000000,CT_HUB,available,2024-01-01T00:00:00+07:00,420000.000000,18500.000000,42.000000,False,
VEH_TRK15_014,truck_15t,road,15.000000,CT_HUB,available,2024-01-01T00:00:00+07:00,420000.000000,18500.000000,42.000000,False,
VEH_TRK15_015,truck_15t,road,15.000000,CT_HUB,available,2024-01-01T00:00:00+07:00,420000.000000,18500.000000,42.000000,False,
VEH_TRK15_016,truck_15t,road,15.000000,CT_HUB,en_route,2024-01-01T00:00:00+07:00,420000.000000,18500.000000,42.000000,False,
VEH_TRK15_017,truck_15t,road,15.000000,CT_HUB,available,2024-01-01T00:00:00+07:00,420000.000000,18500.000000,42.000000,False,
VEH_REF8_001,reefer_8t,road,8.000000,HUB_VITHANH,available,2024-01-01T00:00:00+07:00,650000.000000,21000.000000,43.000000,True,HUB_VITHANH
VEH_REF8_002,reefer_8t,road,8.000000,HUB_VITHANH,available,2024-01-01T00:00:00+07:00,650000.000000,21000.000000,43.000000,True,HUB_VITHANH
VEH_REF8_003,reefer_8t,road,8.000000,HUB_LONGXUYEN,available,2024-01-01T00:00:00+07:00,650000.000000,21000.000000,43.000000,True,HUB_LONGXUYEN
VEH_REF8_004,reefer_8t,road,8.000000,HUB_LONGXUYEN,available,2024-01-01T00:00:00+07:00,650000.000000,21000.000000,43.000000,True,HUB_LONGXUYEN
VEH_REF8_005,reefer_8t,road,8.000000,HUB_LONGXUYEN,maintenance,2024-01-01T00:00:00+07:00,650000.000000,21000.000000,43.000000,True,HUB_LONGXUYEN
VEH_REF8_006,reefer_8t,road,8.000000,HUB_SOCTRANG,available,2024-01-01T00:00:00+07:00,650000.000000,21000.000000,43.000000,True,HUB_SOCTRANG
VEH_REF8_007,reefer_8t,road,8.000000,HUB_SOCTRANG,available,2024-01-01T00:00:00+07:00,650000.000000,21000.000000,43.000000,True,HUB_SOCTRANG
VEH_REF8_008,reefer_8t,road,8.000000,HUB_SOCTRANG,available,2024-01-01T00:00:00+07:00,650000.000000,21000.000000,43.000000,True,HUB_SOCTRANG
VEH_REF8_009,reefer_8t,road,8.000000,HUB_VINHLONG,en_route,2024-01-01T00:00:00+07:00,650000.000000,21000.000000,43.000000,True,HUB_VINHLONG
VEH_REF8_010,reefer_8t,road,8.000000,HUB_VINHLONG,en_route,2024-01-01T00:00:00+07:00,650000.000000,21000.000000,43.000000,True,HUB_VINHLONG
VEH_REF8_011,reefer_8t,road,8.000000,CT_HUB,available,2024-01-01T00:00:00+07:00,650000.000000,21000.000000,43.000000,True,
VEH_REF8_012,reefer_8t,road,8.000000,CT_HUB,available,2024-01-01T00:00:00+07:00,650000.000000,21000.000000,43.000000,True,
VEH_REF8_013,reefer_8t,road,8.000000,CT_HUB,maintenance,2024-01-01T00:00:00+07:00,650000.000000,21000.000000,43.000000,True,
VEH_REF8_014,reefer_8t,road,8.000000,CT_HUB,available,2024-01-01T00:00:00+07:00,650000.000000,21000.000000,43.000000,True,
VEH_BOAT50_001,boat_50t,water,50.000000,HUB_VITHANH,available,2024-01-01T00:00:00+07:00,900000.000000,6000.000000,12.000000,False,HUB_VITHANH
VEH_BOAT50_002,boat_50t,water,50.000000,HUB_VITHANH,maintenance,2024-01-01T00:00:00+07:00,900000.000000,6000.000000,12.000000,False,HUB_VITHANH
VEH_BOAT50_003,boat_50t,water,50.000000,HUB_LONGXUYEN,en_route,2024-01-01T00:00:00+07:00,900000.000000,6000.000000,12.000000,False,HUB_LONGXUYEN
VEH_BOAT50_004,boat_50t,water,50.000000,HUB_LONGXUYEN,available,2024-01-01T00:00:00+07:00,900000.000000,6000.000000,12.000000,False,HUB_LONGXUYEN
VEH_BOAT50_005,boat_50t,water,50.000000,HUB_SOCTRANG,available,2024-01-01T00:00:00+07:00,900000.000000,6000.000000,12.000000,False,HUB_SOCTRANG
VEH_BOAT50_006,boat_50t,water,50.000000,HUB_SOCTRANG,available,2024-01-01T00:00:00+07:00,900000.000000,6000.000000,12.000000,False,HUB_SOCTRANG
VEH_BOAT50_007,boat_50t,water,50.000000,HUB_VINHLONG,en_route,2024-01-01T00:00:00+07:00,900000.000000,6000.000000,12.000000,False,HUB_VINHLONG
VEH_BOAT50_008,boat_50t,water,50.000000,HUB_VINHLONG,reserved,2024-01-01T00:00:00+07:00,900000.000000,6000.000000,12.000000,False,HUB_VINHLONG
VEH_BOAT50_009,boat_50t,water,50.000000,CT_HUB,available,2024-01-01T00:00:00+07:00,900000.000000,6000.000000,12.000000,False,
VEH_BOAT50_010,boat_50t,water,50.000000,CT_HUB,available,2024-01-01T00:00:00+07:00,900000.000000,6000.000000,12.000000,False,
VEH_BOAT50_011,boat_50t,water,50.000000,CT_HUB,available,2024-01-01T00:00:00+07:00,900000.000000,6000.000000,12.000000,False,
VEH_BOAT50_012,boat_50t,water,50.000000,CT_HUB,en_route,2024-01-01T00:00:00+07:00,900000.000000,6000.000000,12.000000,False,
VEH_BRG200_001,barge_200t,water,200.000000,CT_HUB,available,2024-01-01T00:00:00+07:00,2500000.000000,9000.000000,10.000000,False,
VEH_BRG200_002,barge_200t,water,200.000000,CT_HUB,available,2024-01-01T00:00:00+07:00,2500000.000000,9000.000000,10.000000,False,
VEH_BRG200_003,barge_200t,water,200.000000,CT_HUB,reserved,2024-01-01T00:00:00+07:00,2500000.000000,9000.000000,10.000000,False,
VEH_BRG200_004,barge_200t,water,200.000000,CT_HUB,available,2024-01-01T00:00:00+07:00,2500000.000000,9000.000000,10.000000,False,
VEH_BRG200_005,barge_200t,water,200.000000,CT_HUB,available,2024-01-01T00:00:00+07:00,2500000.000000,9000.000000,10.000000,False,
VEH_BRG200_006,barge_200t,water,200.000000,CT_HUB,available,2024-01-01T00:00:00+07:00,2500000.000000,9000.000000,10.000000,False,
VEH_BRG200_007,barge_200t,water,200.000000,CT_HUB,available,2024-01-01T00:00:00+07:00,2500000.000000,9000.000000,10.000000,False,
VEH_BRG500_001,barge_500t,water,500.000000,CT_HUB,available,2024-01-01T00:00:00+07:00,5200000.000000,13000.000000,8.500000,False,
VEH_BRG500_002,barge_500t,water,500.000000,CT_HUB,en_route,2024-01-01T00:00:00+07:00,5200000.000000,13000.000000,8.500000,False,
VEH_BRG500_003,barge_500t,water,500.000000,CT_HUB,en_route,2024-01-01T00:00:00+07:00,5200000.000000,13000.000000,8.500000,False,
